Vitglobal.com - eRuido DBAMonitor DataLogging File
System started at 	2022-09-29T14:27:26
Datalogging started at 	2022-09-30T14:39:11
LAEq1s,LCEq1s,LASlow,LASMax,Temperature,Humidity,Windspeed,Winddir,DateTime
22.9489,38.5145,23.0748,23.3665,,,-1,-1,2022-09-30T14:41:03
22.7719,39.5262,22.9016,23.0614,,,-1,-1,2022-09-30T14:41:04
22.7216,40.3254,22.8076,22.9136,,,-1,-1,2022-09-30T14:41:05
23.3439,42.723,23.1275,23.1595,,,-1,-1,2022-09-30T14:41:06
24.2643,47.7647,23.897,23.9023,,,-1,-1,2022-09-30T14:41:07
23.9825,46.9914,23.9041,24.1026,,,-1,-1,2022-09-30T14:41:08
23.566,43.1574,23.6823,23.9197,,,-1,-1,2022-09-30T14:41:09
23.4988,44.1765,23.5994,23.6816,,,-1,-1,2022-09-30T14:41:10
24.1566,45.0802,23.9635,23.9754,,,-1,-1,2022-09-30T14:41:11
23.7879,43.0167,23.8506,23.9727,,,-1,-1,2022-09-30T14:41:12
24.0238,46.8119,23.9337,24.0302,,,-1,-1,2022-09-30T14:41:13
23.8976,45.9527,23.9234,23.9289,,,-1,-1,2022-09-30T14:41:14
23.8673,42.9606,23.8329,24.0303,,,-1,-1,2022-09-30T14:41:15
23.1163,39.1848,23.3724,23.8258,,,-1,-1,2022-09-30T14:41:16
22.5983,37.6054,22.9403,23.3487,,,-1,-1,2022-09-30T14:41:17
23.0477,39.9588,22.9841,23.0672,,,-1,-1,2022-09-30T14:41:18
22.5858,38.551,22.7333,22.9771,,,-1,-1,2022-09-30T14:41:19
22.5115,37.6682,22.6016,22.7293,,,-1,-1,2022-09-30T14:41:20
22.518,37.6257,22.5736,22.635,,,-1,-1,2022-09-30T14:41:21
23.0628,39.1539,22.8119,22.9651,,,-1,-1,2022-09-30T14:41:22
22.2823,36.7982,22.4917,22.8062,,,-1,-1,2022-09-30T14:41:23
22.559,38.0459,22.5183,22.6016,,,-1,-1,2022-09-30T14:41:24
22.3448,36.0944,22.3854,22.5212,,,-1,-1,2022-09-30T14:41:25
22.2972,37.1459,22.3296,22.3937,,,-1,-1,2022-09-30T14:41:26
22.3611,38.5694,22.3443,22.37,,,-1,-1,2022-09-30T14:41:27
22.823,38.812,22.7118,22.7118,,,-1,-1,2022-09-30T14:41:28
22.562,37.6776,22.5973,22.7531,,,-1,-1,2022-09-30T14:41:29
22.7615,39.0183,22.7417,22.7719,,,-1,-1,2022-09-30T14:41:30
23.0982,40.3202,22.9645,22.9832,,,-1,-1,2022-09-30T14:41:31
23.1287,41.2097,23.0638,23.0692,,,-1,-1,2022-09-30T14:41:32
23.2732,42.3337,23.2285,23.2285,,,-1,-1,2022-09-30T14:41:33
24.0073,43.3285,23.7518,23.7518,,,-1,-1,2022-09-30T14:41:34
24.5866,46.9973,24.2339,24.2732,,,-1,-1,2022-09-30T14:41:35
25.5435,47.3939,25.1158,25.1158,,,-1,-1,2022-09-30T14:41:36
25.0971,46.2769,25.1065,25.1897,,,-1,-1,2022-09-30T14:41:37
23.785,45.2198,24.3012,25.102,,,-1,-1,2022-09-30T14:41:38
23.6559,44.6453,23.9451,24.2944,,,-1,-1,2022-09-30T14:41:39
25.7627,46.4176,25.2331,25.2331,,,-1,-1,2022-09-30T14:41:40
28.1032,50.0418,26.9767,27.239,,,-1,-1,2022-09-30T14:41:41
25.4258,47.4849,26.0695,26.9434,,,-1,-1,2022-09-30T14:41:42
24.6368,46.3237,25.2081,26.0444,,,-1,-1,2022-09-30T14:41:43
24.7089,48.751,24.961,25.2048,,,-1,-1,2022-09-30T14:41:44
25.0209,49.4425,24.8366,25.3405,,,-1,-1,2022-09-30T14:41:45
24.0716,48.7749,24.3804,24.8259,,,-1,-1,2022-09-30T14:41:46
23.8656,47.1164,24.09,24.3667,,,-1,-1,2022-09-30T14:41:47
24.556,49.3642,24.4386,24.4713,,,-1,-1,2022-09-30T14:41:48
26.0412,53.7556,25.4309,25.4309,,,-1,-1,2022-09-30T14:41:49
26.8257,54.1324,26.3256,26.3289,,,-1,-1,2022-09-30T14:41:50
27.7224,57.2292,27.4173,27.4173,,,-1,-1,2022-09-30T14:41:51
28.7042,57.2155,27.943,28.7416,,,-1,-1,2022-09-30T14:41:52
25.3224,49.2659,26.4984,27.9124,,,-1,-1,2022-09-30T14:41:53
24.2525,46.4595,25.2698,26.4577,,,-1,-1,2022-09-30T14:41:54
24.5488,47.1219,24.826,25.2411,,,-1,-1,2022-09-30T14:41:55
24.7458,47.5051,24.8674,24.8674,,,-1,-1,2022-09-30T14:41:56
24.6447,47.6382,24.6659,25.0178,,,-1,-1,2022-09-30T14:41:57
23.993,46.985,24.2423,24.6652,,,-1,-1,2022-09-30T14:41:58
23.6911,45.7643,23.9294,24.2137,,,-1,-1,2022-09-30T14:41:59
23.3862,43.2227,23.5839,23.9402,,,-1,-1,2022-09-30T14:42:00
23.1178,40.9962,23.3002,23.5751,,,-1,-1,2022-09-30T14:42:01
22.9741,39.6392,23.1019,23.2884,,,-1,-1,2022-09-30T14:42:02
22.7587,39.5051,22.8832,23.0998,,,-1,-1,2022-09-30T14:42:03
22.6493,37.5446,22.7266,22.8807,,,-1,-1,2022-09-30T14:42:04
22.4668,39.236,22.5665,22.7255,,,-1,-1,2022-09-30T14:42:05
22.7435,40.2398,22.6567,22.7457,,,-1,-1,2022-09-30T14:42:06
22.5984,39.9101,22.6175,22.681,,,-1,-1,2022-09-30T14:42:07
22.5528,38.8076,22.5602,22.6495,,,-1,-1,2022-09-30T14:42:08
22.394,38.4438,22.4647,22.5501,,,-1,-1,2022-09-30T14:42:09
22.613,38.8411,22.5468,22.588,,,-1,-1,2022-09-30T14:42:10
22.4337,38.8211,22.4747,22.569,,,-1,-1,2022-09-30T14:42:11
22.6498,38.5123,22.5972,22.5972,,,-1,-1,2022-09-30T14:42:12
22.7699,38.4371,22.7062,22.7092,,,-1,-1,2022-09-30T14:42:13
22.6343,38.2149,22.6834,22.7293,,,-1,-1,2022-09-30T14:42:14
22.7261,40.5464,22.7223,22.7319,,,-1,-1,2022-09-30T14:42:15
22.9719,43.1514,22.8779,22.939,,,-1,-1,2022-09-30T14:42:16
22.6691,41.198,22.7829,22.8643,,,-1,-1,2022-09-30T14:42:17
23.1479,41.3863,23.0524,23.0524,,,-1,-1,2022-09-30T14:42:18
24.1885,44.4853,23.841,23.841,,,-1,-1,2022-09-30T14:42:19
24.4635,45.9053,24.2724,24.2982,,,-1,-1,2022-09-30T14:42:20
24.125,45.1092,24.2261,24.2644,,,-1,-1,2022-09-30T14:42:21
24.3648,45.4358,24.2912,24.3791,,,-1,-1,2022-09-30T14:42:22
24.5421,46.2501,24.4778,24.5083,,,-1,-1,2022-09-30T14:42:23
24.5522,46.6434,24.5188,24.6023,,,-1,-1,2022-09-30T14:42:24
24.5492,46.6686,24.6057,24.6153,,,-1,-1,2022-09-30T14:42:25
25.1587,49.1576,24.9568,24.9606,,,-1,-1,2022-09-30T14:42:26
27.0009,54.4879,26.4941,26.4941,,,-1,-1,2022-09-30T14:42:27
30.4004,60.4761,28.8827,29.4972,,,-1,-1,2022-09-30T14:42:28
27.055,55.8975,27.9084,28.8348,,,-1,-1,2022-09-30T14:42:29
26.42,52.8922,27.1083,27.8917,,,-1,-1,2022-09-30T14:42:30
24.663,47.319,25.7341,27.0662,,,-1,-1,2022-09-30T14:42:31
23.3553,44.6342,24.366,25.7123,,,-1,-1,2022-09-30T14:42:32
22.9031,41.0639,23.5458,24.3382,,,-1,-1,2022-09-30T14:42:33
23.634,43.6048,23.6307,23.6525,,,-1,-1,2022-09-30T14:42:34
25.0666,51.7227,24.6417,24.6417,,,-1,-1,2022-09-30T14:42:35
23.6997,46.3285,24.0511,24.6409,,,-1,-1,2022-09-30T14:42:36
23.3755,46.8081,23.6562,24.0437,,,-1,-1,2022-09-30T14:42:37
22.9697,44.5817,23.2249,23.655,,,-1,-1,2022-09-30T14:42:38
22.8944,40.992,22.997,23.225,,,-1,-1,2022-09-30T14:42:39
22.6873,39.2891,22.7991,22.9962,,,-1,-1,2022-09-30T14:42:40
22.8593,40.7723,22.7888,22.9319,,,-1,-1,2022-09-30T14:42:41
22.6182,40.7847,22.6673,22.8003,,,-1,-1,2022-09-30T14:42:42
22.5821,39.5507,22.6331,22.6576,,,-1,-1,2022-09-30T14:42:43
22.7112,40.2584,22.6464,22.7628,,,-1,-1,2022-09-30T14:42:44
22.9132,40.1132,22.8157,22.8157,,,-1,-1,2022-09-30T14:42:45
23.8645,40.6189,23.5209,23.5581,,,-1,-1,2022-09-30T14:42:46
23.6572,42.5785,23.6675,23.6675,,,-1,-1,2022-09-30T14:42:47
23.4572,41.7152,23.5529,23.6723,,,-1,-1,2022-09-30T14:42:48
24.0598,44.4157,23.9286,23.9404,,,-1,-1,2022-09-30T14:42:49
24.6837,46.546,24.5048,24.5048,,,-1,-1,2022-09-30T14:42:50
24.9834,48.637,24.7634,24.8187,,,-1,-1,2022-09-30T14:42:51
24.2268,46.0037,24.4051,24.7975,,,-1,-1,2022-09-30T14:42:52
24.3035,43.9418,24.3825,24.3993,,,-1,-1,2022-09-30T14:42:53
25.1766,46.0265,25.0189,25.0189,,,-1,-1,2022-09-30T14:42:54
27.0857,49.6418,26.2872,26.2872,,,-1,-1,2022-09-30T14:42:55
26.9921,50.3389,26.5178,27.1672,,,-1,-1,2022-09-30T14:42:56
24.7575,48.682,25.5472,26.4954,,,-1,-1,2022-09-30T14:42:57
26.6671,49.0312,26.5501,26.5851,,,-1,-1,2022-09-30T14:42:58
28.9192,52.4942,28.2411,28.3892,,,-1,-1,2022-09-30T14:42:59
28.784,51.3677,28.6294,28.7887,,,-1,-1,2022-09-30T14:43:00
26.7462,50.0149,27.5462,28.6483,,,-1,-1,2022-09-30T14:43:01
32.4817,55.3477,31.8087,31.8087,,,-1,-1,2022-09-30T14:43:02
